,country,description,designation,points,price,province,region_1,region_2,variety,winery
263,US,"Dry and balanced, just 25% of this went through malolactic, it shows crisp apple, pear and citrus brightened with punchy acids. Just a hint of oak from aging in 25% new barrels.",,88,12.0,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Waterbrook
264,France,"Fine ripe fruit here, with plenty of sweet apple and pear flavors. The wine is ripe, soft, open, maybe lacking concentration but with a great tangy herbaceous character. Screwcap.",Le Tronsec,88,20.0,Loire Valley,Pouilly-Fumé,,Sauvignon Blanc,Joseph Mellot
265,US,"Impressive by any standards, this Cab is doubly so for having such great balance from a hot-hot vintage. The acids and tannins are firm, but best of all are the flavors, rich in ripe blackberry, cassis, spicy plum pudding and sweet new oak. Just a beautiful wine right now, and should evolve interestingly for 10 years.",Maple Lane,92,60.0,California,Napa Valley,Napa,Cabernet Sauvignon,Ballentine
266,Italy,"This shows delicate tones of blue flower, dried lavender, moist earth and tobacco leaf. There are even touches of honey and roasted chestnut in the background. The mouthfeel is dry, firm and dusty.",Fatica Contadina,89,,Southern Italy,Taurasi,,Aglianico,Terredora
267,Italy,In terms of overall quality this is the best yet from this sea-facing estate in coastal Tuscany. The blend sees Cabernet Sauvignon enhanced by Merlot and Cabernet Franc and the overall effect is one of impressive intensity and sophistication. The finish is velvety rich and smooth.,Argentiera,95,60.0,Tuscany,Bolgheri Superiore,,Red Blend,Tenuta Argentiera
268,Argentina,"Very oaky, with coconut and raw wood making up the bulk of the bouquet. Wood is the recurring theme throughout, with just a bit of dark fruit making an appearance. Very hard, tannic and tough.",Reserva,83,40.0,Mendoza Province,Uco Valley,,Merlot,Joffré e Hijas
269,France,"91-93 Barrel sample. Sweet, plummy wine, its tannins coming from spiced wood as much as fruit. There is a dry core, but the fruit is so opulent and ripe.",Barrel sample,92,,Bordeaux,Margaux,,Bordeaux-style Red Blend,Château Cantenac Brown
270,US,"A blend of Bishop Creek and Eyrie fruit, from multiple vintages. Spicy, refined, with interesting spice and herb streaks dominating. Cracker and seed flavors abound, more than berries or fruit. Tannins are soft and supple; and the wine is drinking well right now.",,88,37.0,Oregon,Oregon,Oregon Other,Pinot Noir,La Luz
271,US,"Delicious and easy to like, and even if it is a little one dimensional, it's very pleasant. Dry, silky and crisp, it offers upfront raspberry, cola and new oak flavors. Drink now.",Rancho La Viña Vineyard,87,54.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Pali
272,Spain,"Aromas of berry fruits, coconut and leather add up well, but the wine falls off in the mouth, where it's sweet, gummy and jacked up. Very tannic and compact in terms of feel, with a hard finish anchored by serious tannins. Fruity and forward but lacking balance. Imported by North American Beverage Group.",Baldor Tradición,84,23.0,Central Spain,Vino de la Tierra de Castilla,,Cabernet Sauvignon,Bodegas y Viñedos Castiblanque
273,US,"This Carneros Chardonnay shows solid mainstream style. Apple, caramel and mint aromas on the nose open to apple, coconut and menthol-oak flavors. The mouthfeel is full, though some tasters thought more big than full. Toasty new oak takes the lead, and a touch of heat shows on the back end.",Cold Creek,89,44.0,California,Carneros,Napa-Sonoma,Chardonnay,Laird
274,New Zealand,"A hint of flintiness adds a touch of austerity to the nose, which otherwise features pineapple and quince. This off-dry wine is on the tart side; citrus and melon notes pick up a trace of bitterness on the finish.",,85,23.0,Central Otago,,,Pinot Gris,Maude
275,US,"All Dwelley Vineyard Merlot, with 9% Cab Franc and 6% Cab Sauvignon. Lots of pretty barrel toast and dense purple and black fruits, mixed with spicy vanilla/clove. Tannins are silky smooth, supple and powerful, and the wine really kicks it!",,93,25.0,Washington,Walla Walla Valley (WA),Columbia Valley,Merlot,Barrister
276,Portugal,"Soft, ripe wine, with easy flavors of juicy black berries, fresh acidity and sweet tannins. A wine with only a hint of dryness, which is ready to drink.",Segada,85,8.0,Estremadura,,,Portuguese Red,DFJ Vinhos
277,US,"Hints of smoke and wet stone combine with sweet Granny Smith apple and stonefruit aromas on the nose of this inviting dry Riesling. Smoke seeps through on the palate as well, melding with brighter flavors like orange peel and underripe tangerine, making for a refreshing yet deeply compelling sip.",Dry,87,16.0,New York,Finger Lakes,Finger Lakes,Riesling,Atwater
278,US,"Drinks kind of hard and raw now, a very dry, tannic wine. You'll find pretty flavors of blackberries and cherries, but it seems to need time to throw some sediment and chill. Try holding for a few years.",,85,25.0,California,Mendocino County,Mendocino/Lake Counties,Cabernet Sauvignon,Duncan Peak
279,US,"Firm and focused, this limited production (98 case) estate-grown Pinot Noir has the muscle and steel frame to be genuinely ageworthy. The tart fruit brings in berry and cherry, framed with supple tannins.",Astra,90,35.0,Oregon,Yamhill-Carlton District,Willamette Valley,Pinot Noir,Luminous Hills
280,France,"This isn't the most complex Côtes du Rhône, but it does offer bold, fruit-driven flavors of cherry and raspberry, medium body and tannins that are creamy soft. Drink this 50-50 blend of Grenache and Syrah over the next year or so.",cdr,88,11.0,Rhône Valley,Côtes du Rhône,,Rhône-style Red Blend,Les Domaines Auriol
281,Austria,"Soft, perfumed wine that has fresh red berry fruits, ripe tannins and a juicy fragrance. This is fruity and ready for drinking in the next 2–3 years. Screwcap.",,86,20.0,Thermenregion,,,Pinot Noir,Johanneshof Reinisch
282,Italy,"Here's a beautifully ruby-colored wine with a sunny disposition and rich aromas of cherry, red flowers, almonds and minerals that is aged six months in French oak. The wine is smooth and silky but has enough acidity to make it a match for pasta and most meat dishes.",,87,19.0,Tuscany,Morellino di Scansano,,Red Blend,La Doga
283,US,"A young, freshly fruity wine, with a gassy berry-cherry liveliness and silky texture similar to Beaujolais. The finish on this Tempranillo and Cabernet Sauvignon blend is dry and spicy.",Bandolero,86,32.0,California,Paso Robles,Central Coast,Red Blend,Daniel Gehrs
284,US,"Soft and fruity, this Cabernet has fruit-forward flavors of blackberry, cherry pie and smoky oak. It's a tasty wine whose firm tannins suggest decanting for a few hours before service. Drink over the next few years.",,87,50.0,California,Rutherford,Napa,Cabernet Sauvignon,Emblem
285,US,"This is a tannic blend of all five Bordeaux grapes, with an earthy mix of cherry, herb and berry flavors. It's elevated with pretty floral aromatics as well, and a hint of anise in the finish.",Old Vine,88,32.0,Oregon,Applegate Valley,Southern Oregon,Meritage,Troon
286,Australia,"From Gundagai, an area southwest of Sydney. A linear, fine quaff, full of black cherry and plum fruit. Its cottony-tannic shell has more staying power than its stuffing. Finishes with more black cherry fruit. Imported by South Pacific Wines.",,86,11.0,New South Wales,Gundagai,,Shiraz,Thorny Devil
287,France,"With a distinct smoothness from wood, this is soft and ripe. It shows delicious toast, pear and melon flavors, lightened with some final acidity. Screwcap.",Saint-Martin,86,24.0,Burgundy,Chablis,,Chardonnay,Domaine Laroche
288,US,"This is a soft, semi-sweet wine with rich flavors of cherry and raspberry jam, bacon, black pepper and sandalwood. It's a little syrupy. Give it a chill in the fridge before drinking.",Estate Vineyard,86,36.0,California,Sonoma Valley,Sonoma,Tempranillo,Gundlach Bundschu
289,US,"There's a rustic quality to the tannins, which are chewy and stemmy and not quite ripe. They give a tough mouthfeel to the black cherry, black currant and caramelized oak flavors. Decant before serving.",,86,30.0,California,Sonoma Valley,Sonoma,Petite Verdot,Wellington
290,US,"This is a terrific Chardonay, one of the best from Napa Valley, and it happens to be from the cooler Coombsville area. It's dry and crisp in acidity, which nicely balances the flamboyantly oaked peach, green apple and herb flavors that are beautifully wrapped into a buttery, creamy texture.",,93,38.0,California,Napa Valley,Napa,Chardonnay,Hunnicutt
291,Greece,"Crisp acidity and a gorgeous, aromatic nose lead on this elegant white. Though mineral-driven, it offers generous white peach and grapefruit flavors that will pair well with fuller-bodied fish. Impressive and versatile.",,90,20.0,Santorini,,,Assyrtiko,Santo Wines
292,Australia,"Tropical fruits start this one off and on the palate, toasted oak and butterscotch join in. The structure is solid and the acid just right. This is a clean, decent Chardonnay.",,85,8.0,Australia Other,South Eastern Australia,,Chardonnay,Bulletin Place
293,US,"This shows fine acidity and tannins, and the finish is properly dry. It offers slender flavors of cherry, cola and pomegranate, with rich oak influence. Drink up.",,86,49.0,California,Russian River Valley,Sonoma,Pinot Noir,Williams Selyem
294,Australia,"Smoky and pungent, with charred wood notes that impart a roasted quality to the dark, earthy flavors. A bit chunky and inelegant, but characterful.",Sexton Vineyard,84,30.0,Victoria,Yarra Valley,,Pinot Noir,Giant Steps
295,Australia,"One of Australia's most noted dessert wines does not disappoint: It's medium-full in the mouth, with warming burnt sugar and meat aromas, which are followed up by apricot, peach and butterscotch flavors and a dry finish. Definitely has a buttery, oily quality to it, through and through. Needs no accompaniment to end a meal well. Imported by De Bortoli Wines USA Inc.",Noble One Botrytis,91,29.0,New South Wales,New South Wales,,Sémillon,De Bortoli
296,US,"Shows the dryness, acidity and tightly wound minerality of all Hanzell's young Chardonnays, but with a depth of citrus and apricot fruit that marks it as a reserve. It really warrants time in the cellar. Best after 2013, and should develop for several more years.",Ambassador's 1953 Vineyard,94,130.0,California,Sonoma Valley,Sonoma,Chardonnay,Hanzell
297,Spain,"Leafy and smoky on the nose, with a firm, crusty topping. The palate is driving but has sheering acidity, while the palate shows blazing cherry, plum and tomato flavors. Oak lends caramel and toffee to a burning finish; a penetrating, somewhat punishing blend of five grapes led by Tempranillo.",Marboré,86,30.0,Northern Spain,Somontano,,Red Blend,Bodegas Pirineos
298,US,"This is the ripest of Fogarty's numerous single-vineyard Chards, with appealing peach, apricot, papaya and citrus flavors. But it shows the same dryness, elegance, acidity and minerality. A complex, food-friendly wine that will interest sommeliers.",Damiana Vineyard Estate,93,45.0,California,Santa Cruz Mountains,Central Coast,Chardonnay,Thomas Fogarty
299,US,"This beautifully reflects the vintage as well as the place. There is astonishing density, length and detail—as much as any Syrah in the country. The deep, compact and impossibly complex flavors mix notes of black fruit, cassis, licorice, coffee, baking spice, smoke and Bourbon barrel.",Royal City,98,140.0,Washington,Washington,Washington Other,Syrah,Charles Smith
300,Spain,"A nosing reveals just about everything but the kitchen sink. There's peanut butter, honey, mango and banana, and then later more elaborate sweet fruits rise up on the palate. Maybe too simple to be great, but very good and likable.",Moscatel de la Marina,89,,Levante,Alicante,,Moscatel,Enrique Mendoza
301,US,"A fine everyday Zinfandel, with a classic structure. Dry and velvety, it offers peppery flavors of blackberries and cherries, with earthier notes of tobacco and carob.",Knotty Vines Estate Vineyards,87,20.0,California,Sonoma County,Sonoma,Zinfandel,Rodney Strong
302,US,"At this price VR is treading into high-priced waters, but quality is keeping up. The wine is rich and lush, with a fine balance of dusty tannins, crisp acids and direct blackberry, coffee and herb flavors.",Vintner's Reserve,85,18.0,California,Sonoma-Napa-Mendocino,North Coast,Merlot,Kendall-Jackson
